data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
4558256,716,ZIM6256,6256,2/26/2019,2019,1,Strategic developments,Change to group/activity,Unidentified Armed Group (Zimbabwe),,3,,,0,30,Southern Africa,Zimbabwe,Harare,Harare,Harare City Council,Harare,-17.8333,31.05,1,Bulawayo24 (Zimbabwe),Subnational,"On Feb 26th, an unknown armed mob broke in the house of MDC Alliance MP parents, looking for her for unknown reasons. No casualties.",0,1552576392,ZWE
4559557,716,ZIM6255,6255,2/22/2019,2019,1,Violence against civilians,Attack,Military Forces of Zimbabwe (2017-),Police Forces of Zimbabwe (2017-),1,Civilians (Zimbabwe),,7,17,Southern Africa,Zimbabwe,Matabeleland South,Beitbridge,Beitbridge Town Council,Beitbridge,-22.2167,29.9833,1,Bulawayo24 (Zimbabwe),Subnational,"On Feb 22nd, a soldier and a Zimbabwe Republic Police Support Unit officer opened fire at the Beitbridge Border Post towards a cross-border transporter's vehicle. No fatalities nor injuries have been reported.",0,1552576396,ZWE
4560537,716,ZIM6254,6254,2/19/2019,2019,1,Violence against civilians,Abduction/forced disappearance,Military Forces of Zimbabwe (2017-),,1,Civilians (Zimbabwe),MDC-A: Movement for Democratic Change (Alliance),7,17,Southern Africa,Zimbabwe,Manicaland,Mutare,Mutare City Council,Mutare,-18.9666,32.6667,1,Daily News (Zimbabwe),National,"On Feb 19th, 3 MDC Alliance officials were abducted by eight armed suspected security guards (coded as military). The episode might be linked to President Mnangagwa's threats against pro-democracy NGOs and opposition political parties.",0,1552576397,ZWE
4562355,716,ZIM6253,6253,2/14/2019,2019,1,Protests,Peaceful protest,Protesters (Zimbabwe),Students (Zimbabwe),6,,,0,60,Southern Africa,Zimbabwe,Bulawayo,Bulawayo,Bulawayo City Council,Bulawayo,-20.15,28.58,1,Chronicle (Zimbabwe),National,"On Feb 14th, students at Hillside Teachers' College in Bulawayo staged a peaceful demonstration against the hiking of boarding fees.",0,1552576400,ZWE
4566422,716,ZIM6251,6251,2/2/2019,2019,2,Violence against civilians,Attack,Unidentified Armed Group (Zimbabwe),,3,Civilians (Zimbabwe),,7,37,Southern Africa,Zimbabwe,Bulawayo,Bulawayo,Bulawayo City Council,Bulawayo,-20.15,28.58,1,Bulawayo24 (Zimbabwe),Subnational,"Week of February 2nd, an 18-year-old man was abducted by suspected police officers. He was severely beaten and later died in hospital.",1,1552576405,ZWE
4566553,716,ZIM6245,6245,2/1/2019,2019,1,Violence against civilians,Attack,Military Forces of Zimbabwe (2017-),,1,Civilians (Zimbabwe),,7,17,Southern Africa,Zimbabwe,Manicaland,Mutare,Mutare City Council,Mutare,-18.9666,32.6667,1,Bulawayo24 (Zimbabwe),Subnational,"On Feb 1st, a man assaulted by soldiers in Mutare on January 20, died after suffering renal failure.",1,1552576405,ZWE
4566554,716,ZIM6246,6246,2/1/2019,2019,1,Protests,Protest with intervention,Protesters (Zimbabwe),Lawyers (Zimbabwe),6,Police Forces of Zimbabwe (2017-),,1,16,Southern Africa,Zimbabwe,Midlands,Gweru,Gweru City Council,Gweru,-19.45,29.82,1,Bulawayo24 (Zimbabwe),Subnational,"On Feb 1st, riot police blocked Gweru lawyers from marching in protest against the alleged absence of rule of law and lack of independence of the magistrates' courts. Armed riot police, with water cannons, dispersed the lawyers at a hotel.",0,1552576405,ZWE
4567167,716,ZIM6244,6244,1/30/2019,2019,2,Strategic developments,Arrests,Police Forces of Zimbabwe (2017-),,1,Civilians (Zimbabwe),,7,17,Southern Africa,Zimbabwe,Harare,Harare,Chitungwiza Urban,Chitungwiza,-18.0127,31.0756,2,New Zimbabwe,National,"Around Jan 30th (date not specified), police arrested 22 children in Chitungwiza for allegedly taking part in the recent violence that rocked some parts of Zimbabwe from Jan 14th to 16th.",0,1552576406,ZWE
4567473,716,ZIM6249,6249,1/30/2019,2019,2,Violence against civilians,Attack,Military Forces of Zimbabwe (1987-2017),,1,Civilians (Zimbabwe),,7,17,Southern Africa,Zimbabwe,Harare,Harare,Chitungwiza Urban,Chitungwiza,-18.0127,31.0756,2,Guardian,International,"Around Jan 30th (exact date not reported), suspected security forces stopped a man walking to his home, beat him with whips and took his wallet in Harare (precise location unknown).",0,1552576406,ZWE
4567445,716,ZIM6250,6250,1/30/2019,2019,2,Violence against civilians,Sexual violence,Military Forces of Zimbabwe (1987-2017),,1,Civilians (Zimbabwe),,7,17,Southern Africa,Zimbabwe,Harare,Harare,Chitungwiza Urban,Chitungwiza,-18.0127,31.0756,1,Guardian,International,Around Jan 30th (exact date not reported) a 15-year-old was forced into a park in Chitungwiza by three men wearing army camouflage (suspected soldiers) and carrying rifles and made to lie on a concrete table where she was raped.,0,1552576406,ZWE
